artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location
Berge,Henry,,Family Group,1953,concrete,,Lafayette Courts,Lafayette Courts,,,,,,,"Lafayette Courts
"
Capellano,Antonio,,Moses and Christ Reliefs,c.1817,marble,,St. Paul's Episcopal Church,St. Paul's Episcopal Church,,Reliefs on front of building,,,,,"St. Paul's Episcopal Church
"
Carroll,Rodney,,William Donald Schaefer,2009,,,,,,,,,,,
Cea,Dominic,,Atlantic Blue Roller Column or Interlocking Piece ,1977,painted steel,,Russell St. Median strip,Russell St.,,Median strip near Oriole Park,,,,,"Russell St.
"
Christie,Alden,,Baltimore Pylon,,,,Baltimore Washington Expressway,Baltimore Washington Expressway,,At city line,,,,,"Baltimore Washington Expressway
"
Hepworth,Barbara,,Single Form,,,,Blaustein Building Lobby,Blaustein Building Lobby,,,,,,,"Blaustein Building Lobby
"
Hosler,Danamarie,,,2007,mural,,Health Department,,,,,,,,
Kirby,Michael,,Three Baltimores,2005,mural (non-city funded),,Key Highway under I95,Key Highway under I95,,Key Highway under I95,"Three aspects of Baltimore: ships, railroad, workers (steel?)",Very visible,,,"Key Highway under I95
"
Lipschitz,Jacques,,Mother and Child,1930,bronze,,Auctioned in 1993/ private Jewish Community Center,Auctioned in 1993/ Jewish Community Center,,Auctioned in 1993 Private?,,,,,"Auctioned in 1993/ Jewish Community Center
"
Moring,Greg,,Series of Points on a Line,,,,City Hospitals,City Hospitals,,,,,,,"City Hospitals
"
Quisgard,Liz,,Unknown,1976,mural - project abandoned,,William Fell ES,William Fell ES,PS  06,Interior,,,,,"William Fell ES
"
Berge (See Capellano original 1818),Henery,,Angel of Truth,1960,terra cotta,21201,First Unitarian Church,12 W. Franklin St. at Charles St.,,Entrance pediment,,,,,"12 W. Franklin St. at Charles St.
21201
(39.294880000000035, -76.62253999999996)"
Beckman,Ronald,,Unknown,1968,plaques,21223,Steuart Hill ES,30 S. Gilmore St.,,Interior,,,,,"30 S. Gilmore St.
21223
(39.2871969372407, -76.64236831857609)"
Whiting,Edmund,,Unknown,,,21215,Towanda Recreation Center,4100 Towanda Ave.,,,,,,,"4100 Towanda Ave.
21215
(39.33504078211094, -76.66643772776918)"
Hofmann,Earl F.,,Unknown,1969,ceramic tiles,21218,Cold Stream Park ES,1400 Exeter Hall Ave.,PS  31,Interior; over main entrance,,,,,"1400 Exeter Hall Ave.
21218
(39.32036714016073, -76.60166687051054)"
,,,Apollo Belvedere,1902 (cast),Bronze,21212,Evergreen House (Johns Hopkins University),4545 North Charles St.,,Garden,,,,,"4545 North Charles St.
21212
(39.3684100000001, -76.61570999999998)"
Daniel,Paul,,Harpie,1978,steel and corten,21207,Liberty Recreation Center,3901 Maine Ave.,,Above entrance,,,,,"3901 Maine Ave.
21207
(39.326392597757035, -76.68362208704065)"
unknown,,,Eagles,,,21207,Leakin Park,1900 Eagle Dr,,,,,,,"1900 Eagle Dr
21207
(39.30524631852888, -76.70055876005011)"
unknown,,,War Memorial,1918,,21230,Carroll Park,Carroll Park,,,,,,,"Carroll Park
21230
(39.28203353866178, -76.6312635584948)"
Wells,Betty,,Unknown,1970,,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.
21213
(39.31751628932784, -76.58839287735805)"
unknown,,,Serviceman's Memorial,1945,,21211,Weldon Ave. and Falls Rd.,Weldon Ave. and Falls Rd.,,,,,,Y,"Weldon Ave. and Falls Rd.
21211
(39.33848847905108, -76.63797250083337)"
Snelson,Kenneth,https://data.baltimorecity.gov/views/5xsg-uc29/files/gT6LCPlaObrA2kbPwiDu52easeliZGqPHWT8WHwmTkU?filename=23b_Snelson++K_1978.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Easy Landing,1978,stainless steel,21202,Maryland Science Center Entrance,601 Light St.,,Inner Harbor Promenade,stainless steel compression tubes strung together with tension cables,highly visible,outdoor accessible,,"601 Light St.
21202
(39.297300000000064, -76.60749999999996)"
Streett,Tylden,https://data.baltimorecity.gov/views/5xsg-uc29/files/c4QjOSWRiNlUiYmE4QkqY65L9UYDSaI9Skecu4uXr4Y?filename=art+019.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Baltimore City Fire Fighters Monument,1990,bronze,21202,Fire Department Headquarters,410 E. Lexington and Gay Sts.,,410 E. Lexington and Gay Sts.,Firefighter standing with ax,Very visible,,,"410 E. Lexington and Gay Sts.
21202
(39.297300000000064, -76.60749999999996)"
Treib,Marc E.,https://data.baltimorecity.gov/views/5xsg-uc29/files/Z_jFvyahrZkLknzogN0XLSss-sacrrFsHZMuDXui-N0?filename=517_Treib.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary,Relay,,,21207,"North Avenue Station, subway",,,,,,,,"21207
(39.32364999999999, -76.72009000000003)"
Miller,Tom,,,1992,mural,21213,1339 E. North Ave.,1339 E. North Ave.,,Two murals on west and east side of Harford Rd. at North Ave.,Two murals; man reading and boy playing,Very Visible (on Harford Rd.),,,"1339 E. North Ave.
21213
(39.31189552664472, -76.59960742306345)"
Berge,Henry,,Untitled,,,21230,Riverside Park Whiffle Ball Stadium,Riverside Park Whiffle Ball Stadium,,,,,,,"Riverside Park Whiffle Ball Stadium
21230
(39.266940000000034, -76.62630000000001)"
Majorowicz,Roger,,Fire Chariot,1972,bronze,21201,John Steadman Fire House,15 S. Eutaw St.,,Eutaw entrance,,,,,"15 S. Eutaw St.
21201
(39.28852088289659, -76.6208013634401)"
unknown,,,Lions,c.1857,iron,21217,Baltimore Zoo,Druid Hill Park,,,,,,,"Druid Hill Park
21217
(39.316007473609055, -76.64384898808959)"
Architects,Associated,,Federal Office Building Entrance Fountains,,,21201,Hopkins Plaza,Hopkins Plaza,,,,,,,"Hopkins Plaza
21201
(39.294880000000035, -76.62253999999996)"
unknown,,,Palace Lions,,,21231,Patterson Park,,,,,,,,"21231
(39.28823000000011, -76.59190000000001)"
Capellano (See Berge reproduction 1960),Antonio,,Angel of Truth,1818,terra cotta,21201,First Unitarian Church,12 W. Franklin St. at Charles St.,,Entrance pediment,,,,,"12 W. Franklin St. at Charles St.
21201
(39.294880000000035, -76.62253999999996)"
Richier,Germaine,,Tauromachy,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
van Rossum,Peter,,Untitled,1971,exposed aggregate,21217,Westside ES,2235 N. Fulton Ave.,PS  24,Front façade,,,,,"2235 N. Fulton Ave.
21217
(39.314323696123836, -76.64512211096627)"
Hurst,Laurence,,The Spirit of Constant Care,1979,"oil on canvas, framed",21217,Constant Care Community Health Center,1501 Division St.,,Main lobby,,,,,"1501 Division St.
21217
(39.303082170757534, -76.63195603645732)"
Todd,Thomas A.,,McKeldin Square and Cascade,,,21202,McKeldin Sq.,Pratt and Light Sts.,,Southeast corner of intersection,,,,,"Pratt and Light Sts.
21202
(39.297300000000064, -76.60749999999996)"
Goldstein,Gladys,,Unknown,1976,mural,21230,Morrell Park ES,2400 Washington Blvd.,PS 220,Interior,,,,,"2400 Washington Blvd.
21230
(39.26841045472528, -76.65057636750728)"
Mullen,Gary,,,2008,mural,21218,Giant Foods at 33rd and Greenmount,601 East 33rd Street,,two murals on side of building facing 33rd,collage of food and Baltimore Icons,Very Visible,,,"601 East 33rd Street
21218
(39.328317146899735, -76.6077462874286)"
Schneider,Jo Ann,,Bad Baby,,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,,"Cross Keys
21210
(39.34921289425051, -76.63108369408891)"
du Fayette,Pierre,,Untitled,1968,stainless steel,21218,Cecil ES,2000 Cecil Ave.,PS  07,Interior; entrance wall,,,,,"2000 Cecil Ave.
21218
(39.313523299517726, -76.605273151848)"
"Lewis, architect",William Albert,,Serviceman's Memorial,1950,,21213,Clifton Park,Sinclair Lane and Wolfe St.,,,,,,Y,"Sinclair Lane and Wolfe St.
21213
(39.31415282493822, -76.59184627395058)"
Fayson,John,,Unknown,1981,mural,21202,New Dormitory Building - Baltimore City Jail,410 E. Eager St.,,Interior,,,,,"410 E. Eager St.
21202
(39.30133923757796, -76.60980641194865)"
Peterson,Harvey,,Untitled,1986,neon,21230,Municipal Animal Shelter,301 Stockholm St.,,Roof top,,,,,"301 Stockholm St.
21230
(39.2747715132752, -76.62254912803087)"
Benson,James A.,,Unknown,1974,sculpture,21224,Highlandtown ES,Pratt and Clifton Sts.,,Interior,,,,,"Pratt and Clifton Sts.
21224
(39.2834400000001, -76.54115999999999)"
Marcks,Gerhard,,Prometheus Bound II,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive
21218
(39.325933943522045, -76.61823238229022)"
Walter,Bart,https://data.baltimorecity.gov/views/5xsg-uc29/files/Nfx60aaOqgplt6OKnNx9qJ7AnDViPjDsCwai-AncpWg?filename=586_+Walter+B_1993.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Three Otters,1993,bronze,21217,Baltimore Zoo,Baltimore Zoo,,Inside main entrance to zoo,Three otters on and around rocks,Visible,,,"Baltimore Zoo
21217
(39.31194000000011, -76.64039000000002)"
Aumiller,Nick,https://data.baltimorecity.gov/views/5xsg-uc29/files/9pjNTEn0dgmS-stw5y7q2MPPdTudwLkaQKjQmRpCHmI?filename=657_Aumiller+N_1993.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary,Love the Animals,1993,mural (non-city funded),21224,2800 E. Fayette St.,2800 E. Fayette St.,,Mini murals on posts located in median strip,Pictures of animals,Visible,,,"2800 E. Fayette St.
21224
(39.29461238292728, -76.57774620187782)"
Jones,Michael,,Unknown,1989,painting,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Interior; hall corridor,,,,,"5207 Roland Ave.
21210
(39.35696055353293, -76.63479789406995)"
Leizman,William,,Untitled,1971,corten,21216,Cahill Recreation Center,4001 Clifton Ave.,,Exterior,,,,,"4001 Clifton Ave.
21216
(39.31228223511732, -76.684647314154)"
Hurst,Lawrence,,Unknown,1984/02,oil/masonite,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,Interior; ceremonial lobby,,,,,"2301 Gwynns Falls Pkwy.
21217
(39.31568167238805, -76.65537438210032)"
Aselage,Robert L.,,Unknown,1979,mural,21229,Robert Coleman ES,2095 N Warwick Ave.,PS 142,Interior,,,,,"2095 N Warwick Ave.
21229
(39.284350000000074, -76.69003999999995)"
Hoffmaster,Thomas,,Unknown,1973,welded metal wall sculptu,21202,Transit and Traffic Building,414 N. Calvert St.,,Interior,,,,,"414 N. Calvert St.
21202
(39.29446666571687, -76.61265658570858)"
