course_name,instructor,course url,course image,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,,,,
2022 Complete Python Bootcamp From Zero to Hero in Python,Jose Portilla,https://www.udemy.com/course/complete-python-bootcamp/,https://img-b.udemycdn.com/course/240x135/567828_67d0.jpg,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,Rating: 4.6 out of 5,440383 reviews,22 total hours,155 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",,"1,629,692 students",,,,
The Web Developer Bootcamp 2022,Colt Steele,https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-b.udemycdn.com/course/240x135/625204_436a_3.jpg,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",Rating: 4.7 out of 5,248508 reviews,64 total hours,615 lectures,All Levels,Current price: E£269.99,"Original price: E£1,399.99",,"830,559 students",,,,
The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-b.udemycdn.com/course/240x135/1565838_e54e_16.jpg,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",Rating: 4.7 out of 5,234837 reviews,65.5 total hours,490 lectures,All Levels,Current price: E£349.99,"Original price: E£1,699.99",Bestseller,"794,897 students",,,,
Angular - The Complete Guide (2023 Edition),Maximilian Schwarzmüller,https://www.udemy.com/course/the-complete-guide-to-angular-2/,https://img-b.udemycdn.com/course/240x135/756150_c033_2.jpg,"Master Angular 14 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",Rating: 4.6 out of 5,174576 reviews,34.5 total hours,472 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",Bestseller,"634,196 students",,,,
Java Programming Masterclass covering Java 11 & Java 17,"Tim Buchalka, Tim Buchalka's Learn Programming Academy",https://www.udemy.com/course/java-the-complete-java-developer-course/,https://img-b.udemycdn.com/course/240x135/533682_c10c_4.jpg,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,Rating: 4.5 out of 5,171838 reviews,80.5 total hours,401 lectures,All Levels,Current price: E£349.99,Original price: E£849.99,Bestseller,"727,934 students",,,,
"React - The Complete Guide (incl Hooks, React Router, Redux)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",https://www.udemy.com/course/react-the-complete-guide-incl-redux/,https://img-b.udemycdn.com/course/240x135/1362070_b9a1_2.jpg,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",Rating: 4.6 out of 5,166128 reviews,49.5 total hours,495 lectures,All Levels,Current price: E£319.99,"Original price: E£1,599.99",Bestseller,"649,985 students",,,,
Machine Learning A-Z™: Hands-On Python & R In Data Science,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",https://www.udemy.com/course/machinelearning/,https://img-b.udemycdn.com/course/240x135/950390_270f_3.jpg,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Rating: 4.5 out of 5,163104 reviews,42.5 total hours,287 lectures,All Levels,Current price: E£269.99,"Original price: E£1,299.99",,"900,823 students",,,,
The Complete JavaScript Course 2023: From Zero to Expert!,Jonas Schmedtmann,https://www.udemy.com/course/the-complete-javascript-course/,https://img-b.udemycdn.com/course/240x135/851712_fc61_6.jpg,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",Rating: 4.7 out of 5,156031 reviews,69 total hours,320 lectures,All Levels,Current price: E£349.99,"Original price: E£1,699.99",Bestseller,"699,335 students",,,,
100 Days of Code: The Complete Python Pro Bootcamp for 2022,Dr. Angela Yu,https://www.udemy.com/course/100-days-of-code/,https://img-b.udemycdn.com/course/240x135/2776760_f176_10.jpg,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",Rating: 4.7 out of 5,150024 reviews,64 total hours,676 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"662,274 students",,,,
Python for Data Science and Machine Learning Bootcamp,Jose Portilla,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://img-b.udemycdn.com/course/240x135/903744_8eb2.jpg,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Rating: 4.6 out of 5,122487 reviews,25 total hours,165 lectures,All Levels,Current price: E£319.99,"Original price: E£1,399.99",Bestseller,"588,524 students",,,,
