ticket_id,ticket_created,date_of_issue,time_of_issue,form,method,issue,caller_id_number,type_of_call_or_messge,advertiser_business_number,state,zip,location_center_point_of_the_zip_code
1000296,05/25/2016 11:15:29 AM +0000,5/1/16,1:00 PM,Phone,Internet (VOIP),Robocalls,866-410-0458,Autodialed Live Voice Call,,FL,33324,"FL 33324
(26.11294, -80.27429)"
1000319,05/25/2016 12:51:35 PM +0000,3/7/16,12:00 PM,Phone,Wired,Telemarketing (including do not call and spoofing),619-840-7262,Live Voice,619-840-7262,CA,92078,"CA 92078
(33.122635, -117.190612)"
1000322,05/25/2016 12:56:54 PM +0000,5/24/16,8:08 PM,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),626-691-9090,Live Voice,626-691-9090,NJ,7481,"NJ 07481
(40.998076, -74.167269)"
1000323,05/25/2016 01:00:22 PM +0000,3/7/16,,Phone,Wired,Telemarketing (including do not call and spoofing),877-218-8361,Abandoned Calls,,MA,1748,"MA 01748
(42.224925, -71.537489)"
1000326,05/25/2016 01:02:31 PM +0000,5/25/16,7:24 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),877-705-6767,Abandoned Calls,,IL,60504,"IL 60504-8149
(41.771365, -88.226673)"
1000328,05/25/2016 01:03:17 PM +0000,5/25/16,7:00 AM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),541-826-3147,Live Voice,,NY,13601,"NY 13601
(43.977155, -75.916148)"
1000330,05/25/2016 01:10:06 PM +0000,3/14/16,11:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),484-938-8231,Live Voice,484-938-8231,PA,18104,"PA 18104
(40.60276, -75.537329)"
1000332,05/25/2016 01:16:14 PM +0000,3/14/16,11:00 AM,Phone,Wired,Telemarketing (including do not call and spoofing),601-553-0515,,,MS,39301,"MS 39301
(32.313297, -88.624084)"
1000335,05/25/2016 01:25:05 PM +0000,5/24/16,2:30 p.m.,Phone,Wired,Robocalls,763-307-5755,Abandoned Calls,,AR,71909,"AR 71909
(34.652444, -92.980651)"
1000336,05/25/2016 01:30:02 PM +0000,3/14/16,2:30 PM,Phone,Wired,Telemarketing (including do not call and spoofing),818-666-4016,,,CA,92620,"CA 92620
(33.708843, -117.758618)"
1000338,05/25/2016 01:30:34 PM +0000,5/24/16,4:00 p.m.,Phone,Wired,Telemarketing (including do not call and spoofing),214-793-1666,Abandoned Calls,,AR,71909,"AR 71909
(34.652444, -92.980651)"
1000342,05/25/2016 01:32:27 PM +0000,5/24/16,5:59 P.M.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),281-808-2308,Live Voice,,FL,33605,"FL 33605
(27.96128, -82.429811)"
