,word,frequency
0,,7027
1,IT,3
2,WAS,4
3,the,6634
4,best,32
5,of,3623
6,"times,",17
7,it,1104
8,was,1558
9,worst,13
10,"the
",729
11,age,5
12,"wisdom,",2
13,"foolishness,",1
14,epoch,2
15,"of
",321
16,"belief,",2
17,"incredulity,",1
18,season,5
19,"Light,
",1
20,"Darkness,",1
21,spring,3
22,"hope,",5
23,winter,8
24,"despair,",2
25,we,102
26,had,1177
27,everything,16
28,before,170
29,"us,",29
30,"nothing
",9
31,were,577
32,all,410
33,going,71
34,direct,5
35,to,3145
36,"Heaven,",10
37,"going
",3
38,other,128
39,way-,8
40,in,2212
41,"short,",15
42,period,2
43,so,374
44,far,65
45,like,175
46,"present
",7
47,"period,",2
48,that,1568
49,some,181
50,its,197
51,noisiest,1
52,authorities,2
53,insisted,2
54,on,754
55,"being
",8
56,"received,",1
57,for,811
58,good,122
59,or,324
60,"evil,",3
61,superlative,1
62,degree,8
63,comparison,3
64,"only.
",1
65,There,90
66,a,2561
67,king,4
68,with,1163
69,large,27
70,jaw,2
71,and,4318
72,queen,2
73,plain,12
74,"face,",42
75,"on
",57
76,throne,3
77,England;,2
78,there,265
79,"a
",231
80,fair,16
81,France.,6
82,In,88
83,both,65
84,"countries
",2
85,clearer,1
86,than,193
87,crystal,1
88,lords,5
89,State,5
90,preserves,1
91,loaves,1
92,"fishes,",1
93,things,40
94,general,23
95,settled,5
96,"ever.
",5
97,It,219
98,year,18
99,Our,7
100,Lord,12
101,one,311
102,thousand,20
103,seven,19
104,hundred,33
105,"and
",409
106,seventy-five.,2
107,Spiritual,1
108,revelations,1
109,conceded,1
110,England,9
111,at,897
112,"that
",102
113,favoured,5
114,as,966
115,this.,10
116,Mrs.,17
117,Southcott,1
118,recently,2
119,"attained
",1
120,her,747
121,five-and-twentieth,1
122,blessed,7
123,"birthday,",2
124,whom,60
125,prophetic,1
126,"private
",1
127,Life,5
128,Guards,3
129,heralded,1
130,sublime,2
131,appearance,22
132,by,490
133,"announcing
",1
134,arrangements,6
135,made,161
136,swallowing,3
137,up,230
138,London,9
139,Westminster.,1
140,Even,12
141,Cock-lane,2
142,ghost,10
143,been,380
144,laid,51
145,only,102
146,round,51
147,"dozen
",2
148,"years,",16
149,after,99
150,rapping,1
151,out,313
152,"messages,",1
153,spirits,5
154,"this
",41
155,very,194
156,last,95
157,past,15
158,(supernaturally,1
159,deficient,1
160,originality),1
161,"rapped
",1
162,theirs.,1
163,Mere,1
164,messages,2
165,earthly,5
166,order,15
167,events,6
168,"lately
",1
169,come,109
170,English,27
171,Crown,1
172,"People,",1
173,from,452
174,congress,1
175,"British
",2
176,subjects,1
177,America:,1
178,"which,",12
179,strange,20
180,"relate,",1
181,have,651
182,proved,2
183,"more
",20
184,important,4
185,human,21
186,race,5
187,any,194
188,communications,3
189,yet,62
190,"received
",1
191,through,139
192,chickens,1
193,"brood.
",1
194,"France,",13
195,less,29
196,whole,32
197,matters,3
198,spiritual,1
199,"than
",21
200,sister,10
201,shield,1
202,"trident,",1
203,rolled,11
204,exceeding,1
205,"smoothness
",1
206,down,158
207,"hill,",12
208,making,30
209,paper,26
210,money,11
211,spending,1
212,it.,107
213,Under,6
214,guidance,3
215,Christian,6
216,"pastors,",1
217,she,304
218,entertained,1
219,"herself,",10
220,"besides,",2
221,"such
",10
222,humane,1
223,achievements,1
224,sentencing,1
225,youth,5
226,his,1754
227,hands,71
228,cut,9
229,"off,
",3
230,tongue,3
231,torn,6
232,"pincers,",1
233,body,14
234,burned,1
235,"alive,",4
236,"because
",6
237,he,1285
238,not,693
239,kneeled,5
240,rain,10
241,do,196
242,honour,21
243,dirty,6
244,"procession
",1
245,monks,1
246,which,356
247,passed,51
248,within,48
249,"view,",4
250,distance,8
251,"fifty
",2
252,sixty,3
253,yards.,1
254,is,658
255,likely,12
256,enough,44
257,"that,",57
258,rooted,2
259,woods,1
260,France,25
261,"Norway,",1
262,growing,10
263,"trees,",4
264,when,339
265,sufferer,4
266,"was
",116
267,put,100
268,"death,",8
269,already,33
270,marked,5
271,"Woodman,",1
272,"Fate,",1
273,"be
",66
274,sawn,1
275,into,290
276,"boards,",1
277,make,67
278,certain,26
279,movable,1
280,framework,1
281,"sack
",1
282,knife,6
283,"it,",213
284,terrible,12
285,history.,1
286,"in
",186
287,rough,11
288,outhouses,1
289,tillers,1
290,heavy,30
291,lands,1
292,adjacent,4
293,"to
",253
294,"Paris,",20
295,sheltered,1
296,weather,3
297,"day,",60
298,"rude
",1
299,"carts,",3
300,bespattered,1
301,rustic,4
302,"mire,",1
303,snuffed,1
304,about,128
305,"pigs,",1
306,roosted,1
307,"poultry,",1
308,"Farmer,",2
309,"Death,",4
310,"set
",4
311,apart,8
312,be,623
313,tumbrils,9
314,Revolution.,1
315,But,63
316,Woodman,2
317,though,75
318,they,412
319,work,38
320,"unceasingly,",1
321,silently,9
322,no,380
323,"one
",21
324,heard,47
325,them,208
326,went,93
327,muffled,4
328,tread:,1
329,"rather,
",1
330,forasmuch,2
331,entertain,2
332,suspicion,9
333,"awake,",4
334,atheistical,1
335,"traitorous.
",1
336,"England,",7
337,scarcely,16
338,an,301
339,amount,1
340,"protection
",1
341,justify,3
342,much,135
343,national,8
344,boasting.,1
345,Daring,1
346,burglaries,1
347,armed,7
348,"men,",18
349,highway,3
350,"robberies,",1
351,took,103
352,place,61
353,capital,2
354,itself,29
355,every,93
356,"night;
",1
357,families,1
358,publicly,2
359,cautioned,1
360,go,97
361,town,8
362,"without
",11
363,removing,2
364,their,275
365,furniture,1
366,upholsterers',1
367,warehouses,1
368,security;,1
369,highwayman,1
370,dark,59
371,City,3
372,tradesman,3
373,"light,",12
374,"and,",51
375,recognised,4
376,challenged,1
377,fellow-tradesman,1
378,stopped,44
379,character,10
380,"""the",12
381,"Captain,""",1
382,gallantly,1
383,shot,9
384,him,481
385,"head
",8
386,rode,7
387,away;,6
388,mail,11
389,waylaid,1
390,"robbers,",1
391,"guard
",3
392,three,75
393,"dead,",11
394,then,101
395,got,73
396,dead,23
397,himself,143
398,"four,",3
399,"""in
",1
400,consequence,2
401,failure,2
402,"ammunition:""",1
403,"mail
",1
404,robbed,3
405,peace;,1
406,magnificent,1
407,"potentate,",1
408,Mayor,1
409,"London,",11
410,stand,14
411,deliver,7
412,Turnham,1
413,"Green,",1
414,"highwayman,",1
415,who,312
416,despoiled,1
417,illustrious,2
418,creature,17
419,sight,23
420,"his
",164
421,retinue;,1
422,prisoners,12
423,gaols,1
424,fought,2
425,battles,1
426,"their
",37
427,"turkeys,",1
428,majesty,2
429,law,10
430,fired,5
431,blunderbusses,1
432,among,91
433,"them,
",4
434,loaded,6
435,rounds,2
436,ball;,1
437,thieves,1
438,snipped,1
439,off,55
440,"diamond
",1
441,crosses,1
442,necks,1
443,noble,11
444,Court,8
445,"drawing-rooms;
",1
446,musketeers,2
447,St.,7
448,"Giles's,",1
449,search,6
450,contraband,2
451,"goods,
",1
452,mob,1
453,"musketeers,",1
454,fir,1
455,"mob,",3
456,nobody,10
457,thought,45
458,these,134
459,occurrences,1
460,common,16
461,way.,18
462,midst,14
463,"them,",86
464,"hangman,",2
465,ever,84
466,busy,5
467,"ever
",5
468,worse,9
469,"useless,",2
470,constant,1
471,requisition;,1
472,"now,",48
473,stringing,1
474,"up
",13
475,long,137
476,rows,1
477,miscellaneous,1
478,criminals;,1
479,hanging,11
480,housebreaker,1
481,Saturday,2
482,taken,66
483,Tuesday;,1
484,burning,8
485,people,88
486,hand,124
487,Newgate,2
488,"dozen,",1
489,now,93
490,pamphlets,1
491,door,56
492,Westminster,1
493,Hall;,1
494,"to-day,",8
495,taking,38
496,life,62
497,atrocious,1
498,"murderer,
",1
499,to-morrow,8
500,wretched,11
501,pilferer,1
502,farmer's,2
503,"boy
",3
504,"sixpence.
",1
505,All,32
506,"things,",14
507,came,118
508,pass,22
509,close,40
510,upon,259
511,dear,77
512,old,125
513,Environed,1
514,while,67
515,"Farmer
",1
516,worked,16
517,"unheeded,",1
518,those,94
519,two,145
520,"jaws,",1
521,"faces,",11
522,trod,5
523,stir,4
524,"enough,",13
525,carried,42
526,divine,2
527,rights,1
528,high,33
529,hand.,15
530,Thus,9
531,did,121
532,"seven
",2
533,seventy-five,1
534,conduct,3
535,"Greatnesses,",1
536,myriads,1
537,small,32
538,creatures-,2
539,creatures,4
540,this,390
541,chronicle,1
542,rest-,1
543,"along
",3
544,roads,23
545,lay,58
